,0
love,6067.1115
great,5248.0545
perfect,3525.368
protect,2713.1705
price,2670.692
easi,2541.5460000000003
nice,2414.337
case,2365.2245
good,2316.7275
well,2260.7315000000003
veri,1906.556
color,1876.2335
need,1736.786
recommend,1733.0705
best,1601.647
phone,1589.319
thank,1535.8205
awesom,1438.2795
high,1412.7345
iphon,1339.2240000000002
like,1338.4635
fit,1310.295
excel,1301.647
exact,1287.581
realli,1254.967
friend,1248.45
batteri,1134.1145000000001
charger,1130.996
fast,1087.531
littl,1086.355
happi,1066.9270000000001
durabl,1066.6280000000002
far,1061.4825
feel,1054.385
car,1049.4945
devic,1025.355
job,1015.379
protector,1014.4399999999999
daughter,1011.961
cute,1003.6505000000001
bought,991.381
charg,988.336
drop,974.3785
gift,964.9025
definit,964.4425
lot,925.141
more,919.3705
amaz,917.907
screen,892.1665
usb,885.3104999999999
look,877.0915
keep,870.5915
compliment,866.1405000000001
sturdi,853.2035000000001
wife,847.4615
ipad,842.2769999999999
much,839.7615
without,779.1255
alway,761.4649999999999
slim,761.2700000000001
carri,738.5065
problem,728.7909999999999
bulki,724.1665
complaint,719.1890000000001
extra,711.7389999999999
still,710.9055
travel,707.3005
port,701.1419999999999
quick,699.3294999999999
favorit,699.0635
instal,694.2405
galaxi,691.5205
stylus,682.6895000000001
handi,681.908
add,672.6795
tablet,671.2845
beat,657.1565
qualiti,654.2719999999999
power,653.2189999999999
worri,652.254
beauti,637.961
cover,636.205
everyon,624.699
provid,615.5435
purchas,609.771
pretti,609.1225
husband,606.3455
describ,601.415
new,597.7384999999999
super,596.1535
mani,594.197
simpl,585.231
bit,578.428
year,577.5169999999999
son,573.0714999999999
everyth,571.8325000000001
anyon,568.8215
hand,568.2885
bulk,567.525
otterbox,566.2479999999999
make,564.047
valu,559.062
pocket,542.1075
purs,539.2855
cell,538.0949999999999
famili,534.903
light,523.5235
long,521.0545
work,518.2075
grip,516.518
5,511.185
yet,505.5995
help,500.57
wonder,497.9055
time,497.38349999999997
absolut,494.186
glad,490.756
life,488.79200000000003
conveni,488.632
stylish,479.17400000000004
cool,476.88800000000003
solid,476.3125
cabl,475.11
issu,474.75350000000003
easier,473.2415
size,467.63100000000003
note,467.00350000000003
snug,466.73600000000005
enjoy,465.947
no,464.6045
s3,464.268
sleek,462.6085
satisfi,460.65999999999997
comfort,458.7005
pack,453.22950000000003
