,0
great,5258.2185
love,5234.8315
works,3215.1020000000003
good,2651.7705
price,2619.9865
fits,2598.5260000000003
perfect,2551.2325
easy,2546.2075
well,2458.0785
recommend,2329.577
nice,2260.3830000000003
case,2199.413
perfectly,2101.0165
very,2027.999
loves,1949.5539999999999
phone,1872.1955
best,1595.078
protects,1488.1715000000002
iphone,1484.6905000000002
like,1425.056
protection,1417.529
awesome,1407.7649999999999
highly,1321.602
happy,1309.183
really,1302.7765000000002
exactly,1269.641
excellent,1242.1935
color,1201.4185
colors,1186.9265
cases,1169.461
fast,1086.934
little,1074.6685
durable,1067.8635
needed,1056.4565
need,1041.399
looks,1030.0975
loved,1029.551
car,1028.884
bought,1014.9525
far,1011.6245
charges,1009.906
cute,1008.6675
job,997.825
battery,986.08
charger,969.6395
daughter,942.99
more,940.7185
thanks,937.8785
thank,926.3725
screen,921.782
definitely,918.4915
sturdy,879.6555000000001
anyone,878.0285
devices,871.971
galaxy,868.7835
usb,866.672
ipad,834.817
gift,830.2875
wife,822.8045000000001
compliments,818.9585
much,814.3565
amazing,812.5780000000001
friends,810.924
protected,790.142
lot,787.9064999999999
without,776.066
always,752.305
slim,751.7860000000001
pleased,747.277
phones,734.8905
feel,734.1229999999999
quality,732.2379999999999
protector,719.2044999999999
friend,706.3115
described,689.9335
protect,688.5024999999999
still,677.7935
handy,673.712
purchase,655.7705
neg_problems,650.657
new,648.7785
favorite,645.4225
recommended,642.8105
cover,642.28
charge,639.771
extra,631.4989999999999
install,627.3205
stylus,624.8054999999999
again,624.778
long,618.0885
product,616.895
everyone,615.6025
holds,615.2335
keep,614.5275
makes,610.0409999999999
pretty,609.5495
power,603.481
clear,599.2265
carry,595.8225
simple,593.7280000000001
cell,587.8945
husband,579.5205
bit,578.7265
many,577.044
super,574.3175
likes,573.075
value,569.3425
everything,564.9844999999999
5,564.1129999999999
enough,560.934
note,557.8059999999999
looking,547.8249999999999
expected,546.5585000000001
feels,546.1265
tablet,543.9639999999999
nicely,542.621
otterbox,542.3715
family,540.4675
dropped,538.329
son,537.487
go,533.0975
satisfied,532.7769999999999
protectors,530.294
no,530.071
absolutely,526.409
light,521.5785
comes,519.822
ports,515.2909999999999
beautiful,510.55649999999997
beat,504.2075
neg_bulky,498.8865
life,498.49600000000004
protective,497.39599999999996
device,497.197
seems,497.11650000000003
s3,494.3845
glad,493.9115
cool,489.19599999999997
original,487.608
purse,485.534
provides,483.00649999999996
keeps,482.814
able,482.0495
using,479.61199999999997
charging,476.9025
travel,472.72499999999997
size,471.35650000000004
stylish,465.76399999999995
easier,465.488
several,463.645
grip,462.082
yet,459.8665
solid,459.3445
quickly,458.8865
bulk,455.75149999999996
deal,451.727
gives,445.3845
neg_issues,442.5895
wonderful,440.8825
pocket,436.6265
sleek,435.0235
comfortable,434.2625
apply,429.5345
especially,429.166
must,426.1605
strong,425.329
neg_complaints,421.25050000000005
fine,420.2495
easily,420.236
convenient,420.1105
protecting,419.2045
allows,416.10949999999997
purchased,411.8335
every,408.59700000000004
'm,406.812
bluetooth,405.6515
s4,400.133
snug,399.847
nexus,397.789
smooth,396.52700000000004
overall,395.959
compact,395.9065
quick,394.605
others,392.3795
stand,392.027
helps,391.1855
chargers,390.439
batteries,388.682
times,385.5955
high,384.2765
home,382.029
clean,381.17999999999995
fantastic,379.701
worth,379.34700000000004
4,378.738
time,377.72999999999996
plus,377.0035
bulky,376.56899999999996
hand,376.0585
spare,375.99350000000004
pack,375.851
kids,373.49300000000005
glove,372.8105
cable,372.688
change,371.851
samsung,363.57649999999995
stays,362.7795
music,361.7345
fun,359.114
safe,357.71750000000003
add,356.414
built,355.40299999999996
kindle,354.375
quite,346.986
drops,345.76
year,343.541
design,341.874
drop,339.80899999999997
useful,338.873
adds,337.7545
years,337.5335
soft,336.69599999999997
pen,335.084
saved,331.83099999999996
advertised,328.99399999999997
secure,327.83349999999996
ipod,327.803
fact,327.632
small,326.19
mom,325.58750000000003
sister,323.1875
used,322.3755
neg_problem,320.3055
bright,318.356
touch,314.391
port,313.4625
fit,312.7375
delivery,311.7605
complaints,307.8705
problems,307.152
android,306.182
find,305.906
covers,304.54699999999997
wanted,301.594
mount,300.435
weight,299.80249999999995
arrived,299.471
worry,299.152
set,299.01800000000003
condition,296.851
portable,296.64399999999995
cards,295.9815
style,294.094
say,293.86150000000004
hands,290.34599999999995
everyday,290.25399999999996
htc,287.9765
affordable,287.042
ones,286.34749999999997
needs,285.9905
future,285.28150000000005
found,285.2715
4s,284.5475
cheaper,282.46049999999997
lasts,281.723
5s,281.34450000000004
inexpensive,280.127
anker,279.8455
enjoy,277.7345
alot,274.535
length,270.965
wall,270.557
tell,270.493
feature,269.1045
outlet,269.0585
apple,268.87800000000004
traveling,268.12850000000003
dual,267.963
speaker,265.973
sound,265.63
around,265.537
longer,265.46
impressed,264.751
make,264.50899999999996
lol,261.7875
finish,260.295
since,257.9285
charm,257.273
iphones,255.774
charged,255.54399999999998
backup,255.3865
faster,255.35150000000002
otter,251.39950000000002
reasonable,250.8795
wallet,249.89499999999998
products,249.826
tablets,249.578
smartphone,249.523
smart,248.4025
blue,245.059
house,243.018
room,242.7475
oem,241.398
lightweight,240.9285
take,240.489
lots,240.1085
offers,239.0475
order,238.922
pink,238.691
uses,238.1155
daily,238.0005
place,236.936
extended,236.78650000000002
ask,236.3225
matte,234.9285
done,234.3815
gifts,232.507
trips,232.17499999999998
added,232.1395
bonus,231.53799999999998
free,230.6195
led,229.77949999999998
access,229.2475
want,227.583
people,227.4585
multiple,226.81
look,226.011
adorable,224.5325
wish,224.4845
surprised,224.0755
holding,222.4975
christmas,221.956
old,221.7095
tough,221.07150000000001
mini,221.0255
watch,219.07750000000001
external,218.952
plenty,218.69750000000002
priced,217.316
blackberry,216.37050000000002
heavy,215.8475
bag,215.775
features,213.6395
match,212.554
cables,210.82
desk,210.4745
gps,210.0905
available,207.78650000000002
s5,207.183
sure,206.11249999999998
recharge,205.4185
micro,204.5435
texture,202.35899999999998
neg_worry,201.0565
ease,200.91299999999998
complaint,200.53150000000002
stores,198.0625
road,196.6285
cloth,196.4905
running,195.9255
included,195.05849999999998
compared,194.1745
white,192.781
liked,191.63750000000002
issues,191.629
worried,190.961
rugged,190.6615
neg_bubbles,190.5755
etc,190.02349999999998
elegant,189.433
attractive,189.12949999999998
droid,189.0225
tpu,187.958
defender,186.978
matches,186.5335
seen,186.505
standard,186.384
ready,186.306
office,185.802
profile,185.4255
brother,185.1405
’,183.68099999999998
wants,183.1945
trent,182.032
cord,181.6175
provided,181.567
black,180.70100000000002
full,180.64149999999998
run,180.07500000000002
flexible,179.79549999999998
helpful,179.583
unlike,178.952
anywhere,178.87099999999998
buy,178.761
neg_bulk,178.48700000000002
holster,178.26999999999998
carrying,177.1845
vibrant,176.5875
held,176.4435
business,176.437
bed,176.24300000000002
purple,175.191
dropping,174.8665
capacity,174.311
functional,174.24300000000002
investment,173.91899999999998
securely,172.765
're,172.01749999999998
expensive,171.8205
snugly,170.958
brought,170.475
flawlessly,169.8175
things,169.416
build,169.0555
unique,168.8815
ca,168.768
wear,168.43900000000002
slip,168.0805
surface,167.93
girly,167.8265
bling,167.744
classy,167.39249999999998
plug,167.31
videos,167.1755
promised,166.627
fairly,166.0965
wireless,163.7
face,162.812
expectations,162.429
leave,162.388
minor,162.34300000000002
neg_add,162.0665
wonderfully,161.807
movies,161.7355
switch,161.669
usually,161.104
kickstand,160.82299999999998
earlier,160.792
keeping,160.0335
flashlight,159.7455
x,159.7425
installation,159.285
mobile,159.092
accessible,158.276
ipads,157.192
store,156.7635
def,156.6495
sample,156.466
glass,156.414
often,156.3265
market,156.1265
driving,155.9255
listen,154.8845
skeptical,154.8365
daughters,154.81500000000003
owned,154.786
variety,154.755
video,154.721
girlfriend,154.6625
adding,154.05499999999998
prefer,153.2325
glare,153.188
neg_scratch,152.45149999999998
kit,152.42700000000002
packaged,152.328
vehicle,152.0105
play,151.93800000000002
shipping,151.732
games,151.656
headset,151.621
help,150.31550000000001
trip,149.0725
addition,148.9185
girl,148.7
saver,148.05
scratches,147.64849999999998
exact,147.364
100%,146.068
recomend,146.0255
amp,145.6695
decent,145.4295
needing,145.4175
output,145.2995
granddaughter,145.14749999999998
crystal,144.803
larger,144.69
provide,144.523
sooner,144.49699999999999
duty,144.4895
reliable,144.4805
recently,144.23000000000002
amount,143.646
think,142.9195
credit,142.81050000000002
red,142.4015
bank,142.2445
mind,141.95000000000002
accessory,141.136
downside,141.12099999999998
card,140.4535
came,140.36350000000002
follow,139.1615
brands,139.0965
extras,137.23250000000002
pockets,137.0435
important,136.982
neg_need,136.4365
birthday,136.0585
mother,135.886
neg_disappointed,135.861
belt,135.096
laptop,134.9075
seem,134.88549999999998
neg_beat,134.86350000000002
pens,134.655
additional,134.18650000000002
happier,133.52599999999998
truck,133.268
kick,133.152
commuter,133.05249999999998
incredible,133.0155
camera,132.7535
resistant,131.7695
neg_big,131.5995
lets,131.2155
shipped,131.03799999999998
choice,131.035
early,130.79049999999998
outstanding,130.52
dad,130.5
handle,129.8305
watching,129.61800000000002
steal,129.5505
along,129.2785
loving,128.8425
neat,128.186
ordering,127.7495
kitty,127.67999999999999
dust,127.4865
boyfriend,127.158
powerful,127.04650000000001
colorful,127.036
complements,126.893
durability,126.859
neg_damage,126.7935
plugs,126.404
ac,126.098
stock,125.9955
user,125.8895
tool,125.056
talk,124.7645
series,124.434
put,124.43
evo,124.0895
cutouts,123.955
tend,123.892
stands,123.842
slightly,123.2145
pouch,123.074
space,123.01899999999999
license,122.95649999999999
juice,122.91799999999999
cleaning,122.7365
fingerprints,122.56150000000001
fully,121.51
show,121.0615
saves,120.984
right,120.8675
various,120.6205
computer,120.3885
complain,120.16749999999999
everywhere,120.0715
flip,119.896
law,119.8415
electronic,119.703
combo,119.454
lg,119.4075
truly,119.32350000000001
armor,119.2415
swap,119.02900000000001
share,118.9285
serves,118.88449999999999
shape,118.876
id,118.6725
7,118.661
silicone,118.61749999999999
clarity,118.58699999999999
bill,118.4665
(i,118.36
application,118.08699999999999
past,118.05749999999999
enjoyed,117.173
hello,116.9965
previous,116.4675
neg_much,116.1685
continue,115.896
speed,115.222
night,115.20349999999999
neg_scratches,115.13300000000001
leather,115.031
gotten,114.745
niece,114.69
thicker,114.6405
enjoying,114.48
smaller,114.1535
fraction,113.923
ive,113.921
prevent,113.50800000000001
designed,113.00599999999999
functions,112.72850000000001
5c,112.43599999999999
choose,112.3105
bring,111.9935
amazed,111.93900000000001
diztronic,111.64699999999999
simultaneously,111.4915
bargain,111.336
smartphones,111.3255
speakers,111.214
convenience,110.9785
fancy,110.6635
mah,110.326
adapter,109.732
outlets,109.601
timely,109.539
lovely,109.35900000000001
playing,109.31099999999999
trick,108.9915
hd,108.9405
minimal,108.922
wow,108.8555
headphones,108.807
effective,108.4
packs,108.04849999999999
school,107.8195
fan,107.6985
reasonably,107.452
mounts,107.4435
lighter,107.0445
ability,106.857
penny,106.67150000000001
con,106.512
course,106.404
gadget,106.28699999999999
pleasantly,106.2735
performance,106.05900000000001
firm,105.86749999999999
intended,105.50949999999999
beauty,105.4755
ii,105.1685
factory,105.033
beautifully,104.75699999999999
necessary,104.733
keyboard,104.3245
fire,104.00099999999999
present,103.716
easiest,103.649
practical,103.4915
purpose,103.4475
double,103.065
4g,102.7155
spigen,102.70150000000001
bigger,102.62400000000001
youtube,102.395
professional,102.2735
shower,101.88550000000001
helped,101.509
upgrade,101.47200000000001
neg_love,101.361
accessories,101.35900000000001
tools,100.836
lip,100.78
storage,100.54849999999999
honest,100.33800000000001
large,100.318
performs,100.158
purposes,99.56150000000001
gel,99.5475
upgraded,99.49149999999999
five,99.44
difference,99.262
neg_far,99.242
option,99.22
wait,99.1245
outfit,98.9725
amazingly,98.882
gadgets,98.85600000000001
slide,98.701
terrific,98.6285
listening,98.25250000000001
reccomend,98.18849999999999
grips,97.6985
shock,97.62049999999999
beats,97.529
chose,97.247
grippy,96.8435
tight,96.64699999999999
certainly,96.582
surprisingly,96.422
goes,96.20100000000001
type,96.10900000000001
adapters,95.659
gym,95.4615
front,95.33
snaps,95.29899999999999
bass,94.6485
though,94.58099999999999
